name,科
鸡蛋花,夹竹桃科
杭菊,菊科
金银花,忍冬科
小粒咖啡,茜草科
罗汉果,葫芦科
芍药,芍药科
苦丁茶,冬青科
绞股蓝,葫芦科
桑,桑科
甘草,豆科
黄牛奶树,山矾科
胡桃,胡桃科
猕猴桃,猕猴桃科
无花果,桑科
沙棘,胡颓子科
茉莉花,木樨科
枸杞,茄科
刺梨,蔷薇科
洛神花,千屈菜科
酸角,豆科
金花茶,山茶科
藤茶,唇形科
紫苏叶茶,唇形科
五味子茶,木兰科
野山楂茶,蔷薇科
接骨木花茶,忍冬科
蒲公英茶,菊科
野玫瑰果茶,蔷薇科
蓝莓叶茶,杜鹃花科
黑加仑叶茶,虎耳草科
蜂花粉饮料,多种科
松花粉饮料,松科
油菜花粉饮料,十字花科
玉米花粉饮料,禾本科
荞麦花粉饮料,蓼科
向日葵花粉饮料,菊科
茶花粉饮料,山茶科
玫瑰花粉饮料,蔷薇科
菊花粉饮料,菊科
柠檬叶茶,芸香科
甜叶菊茶,菊科
香蜂草茶,唇形科
番石榴叶茶,桃金娘科
桦树汁,桦木科
竹叶饮料,禾本科
橄榄,橄榄科
黄瓜汁,葫芦科
月见草,柳叶菜科
葫芦叶,葫芦科
松针茶,松科
枫树汁,槭树科
杜仲茶,杜仲科
罗勒茶,唇形科
香椿叶,楝科
酸枣叶,鼠李科
桑寄生茶,桑寄生科
葛根,蝶形花科
黄连,毛茛科
何首乌,蓼科
艾草,菊科
洋参,五加科
紫锥花,菊科
马黛,马黛科
红景天,景天科
石斛,兰科
木蝴蝶,紫葳科
藤三七,落葵科
龙血树叶,龙血树科
辣木叶,辣木科
金鸡纳,茜草科
猴面包树叶,木棉科
罗望子叶,豆科
香樟叶茶,樟科
野葡萄叶,葡萄科
山茱萸茶,山茱萸科
野木瓜叶,蔷薇科
胡萝卜汁,伞形科
姜汁,姜科
西红柿,茄科
芹菜,伞形科
西兰花,十字花科
甘蔗,禾本科
苦瓜,葫芦科
松露茶,块菌科
松萝茶,松萝科
仙人掌果,仙人掌科
野樱桃叶茶,蔷薇科
野草莓叶茶,蔷薇科
野黑莓茶,蔷薇科
野蓝莓茶,杜鹃花科
覆盆子叶,蔷薇科
桑葚叶,桑科
苹果汁,蔷薇科
梨汁,蔷薇科
蔓越莓汁,杜鹃花科
枇杷汁,蔷薇科
桃汁,蔷薇科
李子汁,蔷薇科
南瓜汁,葫芦科
丝瓜汁,葫芦科
西瓜汁,葫芦科
冬瓜汁,葫芦科
佛手瓜汁,葫芦科
刺瓜汁,葫芦科
蛇瓜汁,葫芦科
马泡瓜汁,葫芦科
花椰菜汁,十字花科
芥蓝汁,十字花科
白菜汁,十字花科
芥菜汁,十字花科
山葵汁,十字花科
芜菁汁,十字花科
辣根汁,十字花科
牛蒡茶,菊科
菊芋茶,菊科
茼蒿茶,菊科
洋甘菊茶,菊科
甘蓝汁,十字花科
辣椒汁,茄科
灯笼果汁,茄科
苦蘵汁,茄科
马铃薯汁,茄科
香菜汁,伞形科
茴香汁,伞形科
莳萝汁,伞形科
孜然汁,伞形科
芫荽汁,伞形科
防风草汁,伞形科
龙胆草,龙胆科
金钱草,报春花科
紫草,紫草科
钩吻,茜草科
滇紫草,紫草科
白花蛇舌草,茜草科
滇龙胆,龙胆科
葛缕子汁,伞形科
酸浆果,茄科
橙子汁,芸香科
野生土豆,茄科
野生稻,禾本科
野生小麦,禾本科
野生大豆,豆科
野生燕麦,禾本科
榛子,桦木科
野生蓝莓,杜鹃花科
蕨菜,蕨科
森林蘑菇（例如牛肝菌）,牛肝菌科
野生红枣,鼠李科
山核桃,胡桃科
野生山药,山药科
板栗,板栗科
白蘑菇,蘑菇科
桑椹,桑科
野生花椒,芸香科
山药豆,山药科
松子,松科
野生芦笋,芦笋科
野生龙眼,芸香科
木耳,木耳科
野生黄花菜,百合科
草莓,蔷薇科
野生木瓜,木瓜科
松蘑,松蘑科
魔芋,天南星科
百合,百合科
莲藕,睡莲科
黄精,百合科
藜麦,藜科
野豌豆,豆科
土当归,伞形科
野蒜,葱科（或石蒜科，根据具体种类）
野韭菜,葱科
野荞麦,蓼科
野慈姑,泽泻科
百里香,唇形科
白豆蔻,姜科
山奈,姜科
柠檬草,禾本科
丁香,桃金娘科
锁阳,锁阳科
当归,伞形科
西青果,使君子科
孜然,伞形科
香果,伞形科
荜拔,胡椒科
黄栀子,茜草科
草果,姜科
蓝桉,桃金娘科
龙眼,无患子科
黄芪,豆科
桃,蔷薇科
砂仁,姜科
辛夷,木兰科
白芷,伞形科
芝麻,芝麻科
白果,银杏科
葛缕子,伞形科
艾叶,菊科
红枣,鼠李科
良姜,姜科
蛤蚧,壁虎科
玉果,肉豆蔻科
积壳,芸香科
槟榔,棕榈科
千年健,天南星科
排草,唇形科
红豆蔻,姜科
莲子,睡莲科
益智仁,姜科
长白山不老草,兰科
川木香,菊科
山楂,蔷薇科
灵芝,灵芝科
郁李,蔷薇科
木瓜,蔷薇科
天麻,兰科
玉竹,天门冬科
沙参,桔梗科
川椒,芸香科
佩兰,菊科
麦冬,百合科
百足藤,天南星科
大红袍,紫金牛科
灵香草,报春花科
葫芦巴,豆科
化橘红,芸香科
地黄,玄参科
辣椒,茄科
荆芥,唇形科
假黄皮,芸香科
五加皮,五加科
云木香,菊科
牡丹皮,毛茛科
陈皮,芸香科
甘松,忍冬科
细辛,马兜铃科
补骨脂,豆科
檀香,檀香科
知母,天门冬科
威灵仙,毛茛科
射干,鸢尾科
苦参,豆科
川贝母,百合科
淮山,薯蓣科
三七,五加科
印加萝卜,十字花科
覆盆子,蔷薇科
透骨草,透骨草科
香附子,莎草科
紫苏,唇形科
莳萝,伞形科
啤酒花,大麻科
芥菜,十字花科
番红花,鸢尾科
迷迭香,唇形科
鼠尾草,唇形科
龙蒿,菊科
罗勒,唇形科
牛至,唇形科
多香果,桃金娘科
酸豆,豆科
薰衣草,唇形科
欧芹,伞形科
韭菜,石蒜科
块茎山萮菜,十字花科
续断,川续断科
天门冬,百合科
防风,伞形科
远志,远志科
鱼腥草,三白草科
女贞,木樨科
藿香,唇形科
延胡索,罂粟科
玫瑰,蔷薇科
降真香,蝶豆花科
合欢,豆科
菘蓝,十字花科
白扁豆,豆科
丹参,唇形科
人参花,五加科
苏合香,金缕梅科
蜡梅,蜡梅科
酸枣,鼠李科
决明子,豆科
百部,百部科
党参,桔梗
玄参,玄参科
桂花枝,木犀科
牛蒡,菊科
龙脑香,龙脑香科
泽泻,泽泻科
苍耳,菊科
白芍,萝藦科
八角,五味子科
樟树,樟科
肉桂,樟科
姜,姜科
菖蒲,天南星科
月桂,樟科
木兰,木兰科
五味子,五味子科
菊花,菊科
桂花,木樨科
花椒,芸香科
柠檬,芸香科
香橙,芸香科
扁桃,蔷薇科
胡椒,胡椒科
茴香,伞形科
松脂,松科
雪松,松科
柏木,柏科
欧薄荷,唇形科
依兰,番荔枝科
沉香,瑞香科
岩兰草,禾本科
云杉,松科
天然蜂蜡,蜜蜂科
黑大黄蜂毒,胡蜂科
普通黄蜂毒,胡蜂科
红火蚁毒,蚂蚁科
无刺蜂王浆,蜜蜂科
墨西哥蜂王浆,蜜蜂科
大黄蜂王浆,蜜蜂科
巴塔哥尼亚无刺蜂王浆,蜜蜂科
小无刺蜂王浆,蜜蜂科
松花粉,松科
枣花粉,鼠李科
玉米花粉,禾本科
油菜花粉,十字花科
槐花粉,豆科
枸杞花粉,茄科
茉莉花粉,木犀科
荞麦花粉,蓼科
柑橘花粉,芸香科
丁香花粉,桃金娘科
雪松花粉,松科
棉花粉,锦葵科
苹果花粉,蔷薇科
蓝莓花粉,杜鹃花科
玫瑰花粉,蔷薇科
榛子花粉,桦木科
杜鹃花粉,杜鹃花科
槟榔花粉,棕榈科
菊花粉,菊科
紫云英花粉,豆科
蒲公英花粉,菊科
百合花粉,百合科
牛蒡花粉,菊科
葵花花粉,菊科
桃花粉,蔷薇科
柿子花粉,柿树科
紫藤花粉,豆科
桂花粉,木犀科
荔枝花粉,无患子科
梨花粉,蔷薇科
龙眼花粉,无患子科
杏花粉,蔷薇科
紫苏花粉,唇形科
薄荷花粉,唇形科
苦丁茶花粉,冬青科
荆条蜜,蜜蜂科
刺毛越橘,杜鹃花科
金豆,芸香科
木莓,蔷薇科
台湾林檎,蔷薇科
三叶海棠,蔷薇科
豆梨,蔷薇科
湖北海棠,蔷薇科
野蕉,芭蕉科
火炭母,廖科
地棯,野牡丹科
绿叶五味子,五味子科
金钱豹,桔梗科
粗梗稠李,蔷薇科
毛葡萄,葡萄科
桃金娘,桃金娘科
黑老虎,芸香科
掌叶覆盆子,蔷薇科
红腺悬钩子,蔷薇科
杨梅,杨梅科
杨桐,桃金娘科
大萼杨桐,柿树科
粉叶柿,柿树科
毛花猕猴桃,猕猴桃科
异色猕猴桃,蔷薇科
京梨猕猴桃,猕猴桃科
黄毛猕猴桃,蔷薇科
阔叶猕猴桃,蔷薇科
美丽猕猴桃,蔷薇科
南烛,杜鹃花科
豆腐柴,唇形科
南方荚蒾,五福花科
吕宋荚蒾,忍冬科
宜昌荚蒾,忍冬科
毛鳞省藤,棕榈科
刺葡萄,葡萄科
多花勾儿茶,鼠李科
构棘,蓼科
野柿,柿科
油柿,柿科
酸藤子,紫金牛科
平叶酸藤子,紫金牛科
瓜馥木,番荔枝科
尖叶四照花,山茱萸科
粗叶悬钩子,蔷薇科
异叶榕,桑科
鸡桑,桑科
空心泡,蔷薇科
赤楠,桃金娘科
多花山竹子,小檗科
台湾枇杷,蔷薇科
天仙果,马鞭草科
褐毛杜英,杜英科
日本五月茶,蔷薇科
南五味子,木兰科
尾叶那藤,夹竹桃科
牛果藤,马鞭草科
白木通,木通科
鹰爪枫,卫矛科
滇橄榄,楝科
梅子,蔷薇科
多依,芸香科
火棘,蔷薇科
救军粮,蔷薇科
樱桃,蔷薇科
橡子,壳斗科
野苹果,蔷薇科
野梨,蔷薇科
京梨,蔷薇科
树莓,蔷薇科
黑莓,蔷薇科
野樱莓,越橘科
夹竹桃莓,夹竹桃科
紅莓,蔷薇科
杜鹃果,杜鹃花科
越橘,杜鹃花科
红色覆盆子,蔷薇科
荔枝果,无患子科
鳄梨果,樟科
葡萄柚,芸香科
山莓,蔷薇科
野樱桃,蔷薇科
冬青果,冬青科
柿子,柿科
酸果蔓,蔷薇科
海棠果,蔷薇科
野生梨,蔷薇科
紫莓,蔷薇科
狗牙果,茜草科
铁线莲果,毛茛科
柚子,芸香科
野生核桃,胡桃科
海棠莓,蔷薇科
茶树莓,蔷薇科
高山莓,蔷薇科
紫葡萄,葡萄科
藤莓,蔷薇科
野黑莓,蔷薇科
山梨,蔷薇科
油桃,蔷薇科
黑果枸杞,茄科
野杏,蔷薇科
莲果,莲科
红桑果,桑科
紫杏,蔷薇科
青枣,鼠李科
甜橙,芸香科
野橄榄,橄榄科
金铃子,无患子科
莲雾,桃金娘科
金星果,无患子科
灯笼果,茄科
佛手柑,芸香科
嘉宝果,桃金娘科
洛神果,千屈菜科
杈杷果,蔷薇科
树番茄,茄科
山竹子,藤黄科
鸡蛋果,西番莲科
海巴戟,茜草科
泡泡果,蔷薇科
红毛丹,无患子科
三尖杉,红豆尖杉科
银杏,银杏科
重楼,延龄草科
灯台树,山茱萸科
灯盏花,菊科
大黄藤,防己科
茯苓,多孔菌科
半夏,天南星科
鬼臼,小檗科
诃子,使君子科
血竭,棕榈科
杜仲,杜仲科
黄柏,柏科
狗脊,乌毛蕨科
厚朴,木兰科
肉豆蔻,肉豆蔻科
松针,银杏科
大黄,蓼科
枸骨,冬青科
侧柏叶,柏科
四季青,冬青科
木防己,防己科
八角莲,小檗科
白术,菊科
穿山龙,薯蓣科
防己,防己科
升麻,毛茛科
薤白,石蒜科
炙甘草,豆科
甘遂,大戟科
金荞麦,蓼科
三叶青,葡萄科
天南星,天南星科
鲜地黄,玄参科
明党参,伞形科
鸡血藤,豆科
丁公藤,旋花科
首乌藤,蓼科
忍冬藤,忍冬科
雷公藤,卫矛科
海风藤,胡椒科
石南藤,胡椒科
关木通,马兜铃科
大血藤,木通科
灯心草,灯芯草科
苦木,苦木科
通草,五加科
地枫皮,木兰科
桑寄生,桑寄生科
黄藤,棕榈科
桑枝,桑科
鬼箭羽,卫矛科
接骨木,荚蒾科
络石藤,夹竹桃科
钩藤,茜草科
天仙藤,防己科
皂角刺,豆科
降香,豆科
桂枝,樟科
山黄皮,芸香科
薄荷,唇形科
椿皮,苦木科
山香圆,省沽油科
淫羊藿,小檗科
三丫苦叶,芸香科
苦楝皮,楝科
木槿皮,锦葵科
白鲜皮,芸香科
白首乌,夹竹桃科
罗布麻,夹竹桃科
布渣叶,椴树科
破布叶,锦葵科
艾纳香,菊科
芫荽,伞形科
白英,茄科
龙葵,茄科
半枝莲,唇形科
紫花地丁,堇菜科
瞿麦,石竹科
茵陈,菊科
肿节风,金粟兰科
卷柏,卷柏科
青蒿,菊科
牡蒿,菊科
积雪草,伞形科
大丁草,菊科
水芹,伞形科
木贼,木贼科
天香炉,野牡丹科
鹿茸草,列当科
香薷,唇形科
龙舌草,水鳖科
淡竹叶,禾本科
海金沙草,海金沙科
徐长卿,夹竹桃科
伸筋草,石松科
水飞蓟,菊科
泽兰,唇形科
老君须,萝藦科
广藿香,唇形科
菥蓂,十字花科
委陵菜,蔷薇科
地羊鹊,豆科
凉粉草,唇形科
天泡子,茄科
问荆,木贼科
苦地胆,菊科
泽漆,大戟科
辣蓼草,蓼科
海金沙,海金沙科
竹黄,竹黄科
羊肚菌,羊肚菌科
五倍子,漆树科
雷丸,白蘑科
昆布,海带科
云芝,多孔菌科
冬虫夏草,线虫草科
紫芝,灵芝科
使君子,使君子科
车前子,车前科
榧子,红豆杉科
油棕,棕榈科
亚麻,亚麻科
葵花,菊科
大豆,豆科
椰子,棕榈科
红花,菊科
茶树,山茶科
绿花山芹,伞形科
虎榛子,桦木科
黑胡桃,胡桃科
香榧,红豆杉科
红枫,槭树科
苦楝,楝科
山茶,山茶科
红豆杉,红豆杉科
香葱,石蒜科
紫花苜蓿,豆科
香草,兰科
苦荞,蓼科
榉树,榆科
白蜡树,木樨科
白花菜,白花菜科
紫丁香,木犀科
白榆,榆科
花生,豆科
油茶,山茶科
毛梾,山茱萸科
文冠果,无患子科
长柄扁桃,蔷薇科
元宝槭,无患子科
山桐子,杨柳科
星油藤,大戟科
翅果油,胡颓子科
西康扁桃,蔷薇科
沙漠果,玉蕊科
甜杏仁,蔷薇科
毛叶山桐子,大风子科
蝴蝶果,大戟科
美藤果,大戟科
可可,梧桐科
黄连木,漆树科
辣木,辣木科
油桐,大戟科
油用牡丹,芍药科
皮梾木,山茱萸科
青刺果,蔷薇科
麻疯树,大戟科
蛇莓属,蔷薇科
岭南山竹子,藤黄科
大叶藤黄,藤黄科
豌豆,豆科
华檀梨,檀香科
沼生栎,壳斗科
硬核（原变种）,檀香科
红球姜,姜科
铁线子,漆树科
银蒿,菊科
大花蒿,菊科
芸苔,十字花科
油芥菜,十字花科
油白菜,十字花科
牛油果,樟科
红厚壳,红厚壳科
方榄,橄榄科
滇榄,橄榄科
美国山核桃,胡桃科
越南山核桃,胡桃科
毛樱桃,蔷薇科
笋瓜,葫芦科
曲序香茅,禾本科
梭子果,漆树科
锈毛梭子果,七叶树科
云树,藤黄科
香叶树,樟科
清香木姜子,樟科
四川木姜子,樟科
木姜子,樟科
狼紫草,紫草科
蒜头果,铁青树科
人心果,山榄科
白花油麻藤,蝶形花科
常春油麻藤,蝶形花科
黄花月见草,柳叶菜科
云南木犀榄,木犀科
西番莲属,西番莲科
光叶山刺玫,蔷薇科
蓖麻,大戟科
苏子,唇形科
油莎豆,莎草科
棉花,锦葵科
大麻,桑科
番茄,茄科
菠菜,藜科
生菜,菊科
黄瓜,葫芦科
青椒,茄科
洋葱,葱科
茄子,茄科
萝卜,十字花科
豆角,豆科
莴笋,菊科
芋头,天南星科
四季豆,豆科
大葱,葱科
竹笋,禾本科
紫甘蓝,十字花科
花椰菜,十字花科
甜菜,藜科
西葫芦,葫芦科
青豆,豆科
红薯,旋花科
秋葵,锦葵科
芦笋,天门冬科
菜心,十字花科
空心菜,旋花科
茼蒿,菊科
芦荟,百合科
油麦菜,菊科
青萝卜,十字花科
荠菜,十字花科
白萝卜,十字花科
芋兰,天南星科
木耳菜,落葵科
青蒜,葱科
牛角椒,茄科
慈姑,泽泻科
马齿苋,马齿苋科
韭黄,葱科
红辣椒,茄科
红苋菜,苋科
苦菊,菊科
龙须菜,泽泻科
银耳,银耳科
白薯,旋花科
雪里蕻,十字花科
菊苣,菊科
地瓜,旋花科
海带,海带科
西洋菜,十字花科
红薯叶,旋花科
金针菇,伞菌科
红葱,葱科
苤蓝,十字花科
洋姜,菊科
马兰头,菊科
蕹菜,旋花科
山药,薯蓣科
大蒜,百合科
土豆,茄科
香菇,伞菌科
樱桃萝卜,十字花科
绿豆芽,豆科
荸荠,莎草科
洋蓟,菊科
球芽甘蓝,十字花科
苋菜,苋科
莴苣,菊科
毛豆,豆科
莼菜,莼菜科
甜玉米,禾本科
葫芦,葫芦科
山芋,薯蓣科
藜蒿,菊科
枸杞叶,茄科
荷兰豆,豆科
扁豆,豆科
蚕豆,豆科
黄豆,豆科
豇豆,豆科
儿茶,豆科
茶条槭,槭树科
西南五月茶,大戟科
毛茶,茜草科
古山龙,防己科
百两金,紫金牛科
北马兜铃,马兜铃科
鹰爪花,番荔枝科
奇蒿,菊科
越南勾儿茶,鼠李科
腋毛勾儿茶,鼠李科
短果勾儿茶,鼠李科
黄背勾儿茶,鼠李科
矩叶勾儿茶,鼠李科
台湾勾儿茶,鼠李科
大果勾儿茶,鼠李科
勾儿茶,鼠李科
牯岭勾儿茶,鼠李科
云南勾儿茶,鼠李科
旋蒴苣苔,苦苣苔科
双腺野海棠,野牡丹科
鸭脚茶,野牡丹科
黑面神,大戟科
萼翅藤,使君子科
中东金花茶,山茶科
尖萼瘤果茶,山茶科
尖苞瘤果茶,山茶科
大白山茶,山茶科
白丝毛红山茶,山茶科
白毛红山茶,山茶科
抱茎短蕊茶,山茶科
大树茶,山茶科
普洱茶,山茶科
多脉普洱茶,山茶科
苦茶,山茶科
大萼毛蕊茶,山茶科
香港毛蕊茶,山茶科
老黑茶,山茶科
直脉瘤果茶,山茶科
五室金花茶,山茶科
白灵山红山茶,山茶科
竹叶红山茶,山茶科
滇北红山茶,山茶科
短蕊茶,山茶科
短蕊红山茶,山茶科
短轴红山茶,山茶科
短柄红山茶,山茶科
短柱茶,山茶科
黄杨叶连蕊茶,山茶科
美齿连蕊茶,山茶科
钟萼连蕊茶,山茶科
白毛蕊茶,山茶科
长尾毛蕊茶,山茶科
假大头茶,山茶科
浙江红山茶,山茶科
薄叶金花茶,山茶科
重庆山茶,山茶科
陈氏红山茶,山茶科
扁果红山茶,山茶科
小果短柱茶,山茶科
合柱糙果茶,山茶科
心叶毛蕊茶,山茶科
突肋茶,山茶科
贵州连蕊茶,山茶科
红皮糙果茶,山茶科
厚轴茶,山茶科
厚柄连蕊茶,山茶科
厚瓣短蕊茶,山茶科
厚叶红山茶,山茶科
杯萼毛蕊茶,山茶科
皱叶茶,山茶科
隐脉红山茶,山茶科
尖连蕊茶,山茶科
浙江尖连蕊茶,山茶科
大花尖连蕊茶,山茶科
丹寨秃茶,山茶科
德宏茶,山茶科
秃梗连蕊茶,山茶科
无齿毛蕊茶,山茶科
尖萼红山茶,山茶科
防城茶,山茶科
糙果茶,山茶科
高州油茶,山茶科
秃茶,山茶科
大苞茶,山茶科
秃房茶,山茶科
光果山茶,山茶科
广南茶,山茶科
广西茶,山茶科
狭叶油茶,山茶科
膜叶茶,山茶科
散柱茶,山茶科
小黄花茶,山茶科
马关茶,山茶科
多萼茶,山茶科
南川茶,山茶科
细萼茶,山茶科
五柱茶,山茶科
紫果茶,山茶科
疏齿茶,山茶科
滇山茶,山茶科
皱果茶,山茶科
圆基茶,山茶科
茶梅,山茶科
南山茶,山茶科
大厂茶,山茶科
大理茶,山茶科
瘤果茶,山茶科
榕江茶,山茶科
五柱滇山茶,山茶科
元江短蕊茶,山茶科
木果红山茶,山茶科
黄花短蕊茶,山茶科
文山毛蕊茶,山茶科
滇缅离蕊茶,山茶科
绿萼连蕊茶,山茶科
长毛红山茶,山茶科
越南油茶,山茶科
单体红山茶,山茶科
东兴金花茶,山茶科
东安红山茶,山茶科
细萼连蕊茶,山茶科
金屏连蕊茶,山茶科
云南连蕊茶,山茶科
截叶连蕊茶,山茶科
棱果毛蕊茶,山茶科
毛籽红山茶,山茶科
毛枝连蕊茶,山茶科
毛果山茶,山茶科
毛丝连蕊茶,山茶科
三花连蕊茶,山茶科
南投秃连蕊茶,山茶科
阿里山连蕊茶,山茶科
薄壳红山茶,山茶科
大姚短柱茶,山茶科
思茅短蕊茶,山茶科
半宿萼茶,山茶科
全缘红山茶,山茶科
半秃连蕊茶,山茶科
肖长尖连蕊茶,山茶科
五室连蕊茶,山茶科
斑枝红山茶,山茶科
陕西短柱茶,山茶科
粗毛红山茶,山茶科
七瓣连蕊茶,山茶科
怒江红山茶,山茶科
蚕蛹,蚕蛾科
蝎子,钳蝎科
东亚飞蝗,蝗科
蚱蝉,蝉科
鸣鸣蝉,蝉科
蟪蛄,蝉科
竹虫,螟蛾科
龙虱,龙虱科
斗蟋蟀,蟋蟀科
九香虫,蝽科
负子蝽,负子蝽科
天牛幼虫,天牛科
蜻蜓幼虫,蜓科
豆天蛾幼虫,天蛾科
中华稻蝗,蝗科
蝼蛄,蝼蛄科
柴虫,天牛科
蜂蛹,胡蜂科
棕象甲,竹象科
中国林蛙,蛙科
牛蛙,蛙科
石蛙,叉舌蛙科
虎纹蛙,叉舌蛙科
黑斑侧褶蛙,蛙科
金线蛙,蛙科
泽蛙,陆蛙科
峨眉树蛙,树蛙科
鲤鱼,鲤科
鲢鱼,鲤科
鳙鱼,鲤科
花鲈,花鲈科
鳊鱼,鲤科
青鱼,鲤科
鳟鱼,鲑科
环颈雉,雉科
鲇鱼,鲇科
鹧鸪,雉科
鼹鼠,鼹科
乌金猪,猪科
菜花蛇,游蛇科
乌梢蛇,游蛇科
灰鼠蛇,游蛇科
水蛇,游蛇科
马鹿,鹿科
阿尔泰马鹿,鹿科
水鹿,鹿科
白尾鹿,鹿科
蜥蜴,蜥蜴科
中华鳖,鳖科
草龟,龟科
巴西龟,泽龟科
黄喉拟水龟,龟科
珍珠鳖,鳖科
三线闭壳龟,龟科
鳄龟,鳄龟科
中华鲟,鲟科
西伯利亚鲟,鲟科
达氏鲟,鲟科
小体鲟,鲟科
俄罗斯鲟,鲟科
白鲟,匙吻鲟科
闪光鲟,鲟科
裸腹鲟,鲟科
史氏鲟,鲟科
尼罗鳄,鳄科
湾鳄,鳄科
大鲵,隐鳃鲵科
鳗鱼,鳗鲡科
泥鳅,鳅科
黄鳝,合鳃鱼科
黄颡鱼,鲿科
黑鱼,鳢科
鲳鱼,鲳科
鲂鱼,鲤科
罗非鱼,丽鲷科
鲥鱼,鲱科
鳓鱼,锯腹鳓科
黄花鱼,石首鱼科
带鱼,带鱼科
狗獾,鼬科
猪獾,鼬科
黄鼬,鼬科
竹鼠,竹鼠科
中华鼢鼠,仓鼠科
麝鼠,仓鼠科
野牦牛,牛科
黄牛,牛科
藏绵羊,牛科
藏野驴,马科
岩羊,牛科
蚂蚁,蚁科
野骆驼,骆驼科
鸵鸟,鸵鸟科
鸸鹋,鸸鹋科
罗氏沼虾,长臂虾科
贪食沼虾,长臂虾科
秀丽白虾,长臂虾科
青虾,长臂虾科
刺足仿匙虾,匙指虾科
河蟹,弓蟹科
幽灵虾,长臂虾科
中华新米虾,匙指虾科
锯齿华溪蟹,溪蟹科
毛足溪蟹,溪蟹科
猞猁,猫科
雪豹,猫科
雪鸡,雉科
马骡,马科
田螺,田螺科
锥螺,锥螺科
响螺,蛾螺科
石螺,田螺科
耳河螺,田螺科
福寿螺,瓶螺科
扁螺,扁螺科
盘螺,盘螺科
沼螺,豆螺科
灰狼,犬科
豺,犬科
红颊獴,獴科
郊狼,犬科
藏狐,犬科
乌苏里貉,犬科
芦花鸡,雉科
雪兔,兔科
高原兔,兔科
蓝孔雀,雉科
麻雀,雀科
亚洲蓝龙虾,龙虾科
欧洲蓝龙虾,龙虾科
喜鹊,鸦科
非洲疣猪,猪科
红河野猪,猪科
婆罗洲须猪,猪科
普氏野马,马科
亚洲野象,象科
非洲野象,象科
珠颈斑鸠,鸠鸽科
欧斑鸠,鸠鸽科
山斑鸠,鸠鸽科
灰斑鸠,鸠鸽科
滑鼠蛇,游蛇科
大额牛,牛科
瘤牛,牛科
水牛,牛科
石岐鸽,鸠鸽科
狐蝠,狐蝠科
果蝠,狐蝠科
驯鹿,鹿科
羊驼,骆驼科
番鸭,鸭科
绿头鸭,鸭科
水貂,鼬科
喙核桃,胡桃科
野核桃,胡桃科
小果核桃,胡桃科
胡核桃,胡桃科
泡核桃,胡桃科
枫杨果,胡桃科
化香树果,胡桃科
盐肤木,漆树科
日本栗,壳斗科
锥栗,壳斗科
栗,壳斗科
茅栗,壳斗科
橡果,壳斗科
安第斯山核桃,胡桃科
槟榔果,棕榈科
苦山杏仁,蔷薇科
面包果,桑科
美洲山核桃,胡桃科
腰果,漆树科
栗子,壳斗科
美国核桃,胡桃科
银杏果,银杏科
可乐果,锦葵科
芡实,睡莲科
夏威夷果,山龙眼科
澳洲坚果,山龙眼科
猴面包树坚果,木棉科
棕榈坚果,棕榈科
开心果,漆树科
水菱角,菱科
日本香榧,红豆杉科
红松子,松科
华山松子,松科
五针松子,松科
美人松子,松科
金钱松子,松科
塔松子,松科
